GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
00037	Abbeville, LA Urban Cluster	C	29189594	298416	11.27	0.115	29.967156	-92.095966                                                                                                                    
00064	Abbeville, SC Urban Cluster	C	11271136	19786	4.352	0.008	34.179273	-82.379776                                                                                                                     
00091	Abbotsford, WI Urban Cluster	C	5403023	13221	2.086	0.005	44.948612	-90.315875                                                                                                                     
00118	Aberdeen, MS Urban Cluster	C	7416338	52820	2.863	0.02	33.824742	-88.554591                                                                                                                        
00145	Aberdeen, SD Urban Cluster	C	33032894	120864	12.754	0.047	45.463186	-98.471033                                                                                                                    
00172	Aberdeen, WA Urban Cluster	C	40077464	1887823	15.474	0.729	46.976432	-123.795781                                                                                                                  
00199	Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area	U	339749238	9817274	131.178	3.79	39.50893	-76.303492                                                                                    
00226	Abernathy, TX Urban Cluster	C	3052053	12572	1.178	0.005	33.830523	-101.846278                                                                                                                     
00253	Abilene, KS Urban Cluster	C	8744553	1877	3.376	0.001	38.921855	-97.220768                                                                                                                         
00280	Abilene, TX Urbanized Area	U	141784089	1002809	54.743	0.387	32.428784	-99.747194                                                                                                                  
00334	Abingdon, IL Urban Cluster	C	3739779	0	1.444	0.	40.804173	-90.401516                                                                                                                              
00388	Ada, OH Urban Cluster	C	4754526	0	1.836	0.	40.76723	-83.82466                                                                                                                                     
00415	Ada, OK Urban Cluster	C	30913556	89141	11.936	0.034	34.774803	-96.669103                                                                                                                          
00450	Adams, NY Urban Cluster	C	5100418	13914	1.969	0.005	43.808664	-76.021178                                                                                                                          
00469	Adel, GA Urban Cluster	C	15745460	149881	6.079	0.058	31.145731	-83.429099                                                                                                                         
00496	Adel, IA Urban Cluster	C	4596496	0	1.775	0.	41.612188	-94.021031                                                                                                                                  
00550	Adjuntas, PR Urban Cluster	C	20440780	156184	7.892	0.06	18.166604	-66.729934                                                                                                                      
00577	Adrian, MI Urban Cluster	C	62195861	614875	24.014	0.237	41.909568	-84.031176                                                                                                                      
00604	Agat, GU Urban Cluster	C	12701663	2939	4.904	0.001	13.39108	+144.669527                                                                                                                           
00631	Aguadilla--Isabela--San Sebastián, PR Urbanized Area	U	619742642	894872	239.284	0.346	18.370709	-67.040996                                                                                        
00658	Ahoskie, NC Urban Cluster	C	7548519	0	2.914	0.	36.287867	-76.983286                                                                                                                               
00676	Air Force Academy, CO Urban Cluster	C	6458865	0	2.494	0.	38.985935	-104.858324                                                                                                                    
00712	Ajo, AZ Urban Cluster	C	6916368	0	2.67	0.	32.388725	-112.868897                                                                                                                                   
00739	Akron, NY Urban Cluster	C	6779977	0	2.618	0.	43.020471	-78.493346                                                                                                                                 
00766	Akron, OH Urbanized Area	U	842755658	17491497	325.39	6.754	41.066225	-81.491897                                                                                                                   
00793	Alachua, FL Urban Cluster	C	9777106	31222	3.775	0.012	29.791157	-82.507967                                                                                                                        
00820	Alamogordo, NM Urban Cluster	C	42958242	52140	16.586	0.02	32.902624	-105.949622                                                                                                                   
00847	Alamosa, CO Urban Cluster	C	18820649	39885	7.267	0.015	37.459931	-105.872135                                                                                                                      
00901	Albany, GA Urbanized Area	U	183459977	2790604	70.834	1.077	31.591097	-84.168827                                                                                                                   
00921	Albany, MN Urban Cluster	C	4334314	285660	1.673	0.11	45.630826	-94.568637                                                                                                                         
00955	Albany, OR Urbanized Area	U	61948336	288649	23.918	0.111	44.630088	-123.090049                                                                                                                    
00970	Albany--Schenectady, NY Urbanized Area	U	765903627	16201562	295.717	6.255	42.742965	-73.799324                                                                                                    
00982	Albemarle, NC Urban Cluster	C	44482515	47629	17.175	0.018	35.369088	-80.196358                                                                                                                    
01009	Albert Lea, MN Urban Cluster	C	25489337	1395973	9.841	0.539	43.654514	-93.374413                                                                                                                  
01036	Albertville, AL Urban Cluster	C	92828316	5174686	35.841	1.998	34.268058	-86.22354                                                                                                                 
01063	Albia, IA Urban Cluster	C	5612930	0	2.167	0.	41.027012	-92.805195                                                                                                                                 
01090	Albion, MI Urban Cluster	C	17101887	135558	6.603	0.052	42.252722	-84.75533                                                                                                                        
01117	Albion, NY Urban Cluster	C	7638315	0	2.949	0.	43.245788	-78.193603                                                                                                                                
01144	Albion, PA Urban Cluster	C	7416832	56074	2.864	0.022	41.890344	-80.355166                                                                                                                         
01171	Albuquerque, NM Urbanized Area	U	650730090	8152536	251.248	3.148	35.143367	-106.628138                                                                                                            
01198	Alderson, WV Urban Cluster	C	3437394	107288	1.327	0.041	37.727925	-80.649268                                                                                                                      
01225	Aledo, IL Urban Cluster	C	5738644	30085	2.216	0.012	41.198542	-90.745194                                                                                                                          
01232	Aledo, TX Urban Cluster	C	12139191	163278	4.687	0.063	32.680976	-97.647149                                                                                                                        
01252	Alexander City, AL Urban Cluster	C	25156220	65442	9.713	0.025	32.939703	-85.958004                                                                                                                
01279	Alexandria, LA Urbanized Area	U	169611453	904519	65.487	0.349	31.460476	-92.422913                                                                                                                
01306	Alexandria, MN Urban Cluster	C	38427214	7476290	14.837	2.887	45.900999	-95.3683                                                                                                                   
01333	Alfred, NY Urban Cluster	C	3117022	0	1.203	0.	42.256634	-77.784266                                                                                                                                
01360	Algoma, WI Urban Cluster	C	4746973	106289	1.833	0.041	44.607208	-87.444363                                                                                                                        
01387	Algona, IA Urban Cluster	C	6887318	16085	2.659	0.006	43.072716	-94.228677                                                                                                                         
01414	Alice, TX Urban Cluster	C	28171291	0	10.877	0.	27.7524	-98.075031                                                                                                                                 
01441	Allegan, MI Urban Cluster	C	12209395	147540	4.714	0.057	42.530023	-85.849978                                                                                                                      
01468	Allendale, SC Urban Cluster	C	5948733	0	2.297	0.	33.008841	-81.311258                                                                                                                             
01495	Allentown, PA--NJ Urbanized Area	U	896815586	10485132	346.262	4.048	40.651343	-75.441706                                                                                                          
01522	Alliance, NE Urban Cluster	C	12077346	31691	4.663	0.012	42.100596	-102.87402                                                                                                                      
01549	Alliance, OH Urban Cluster	C	45948691	277827	17.741	0.107	40.914526	-81.09674                                                                                                                     
01603	Alma, GA Urban Cluster	C	7409525	263250	2.861	0.102	31.541885	-82.469694                                                                                                                          
01630	Alma--St. Louis, MI Urban Cluster	C	19248680	401864	7.432	0.155	43.390674	-84.641499                                                                                                              
01657	Almont, MI Urban Cluster	C	3627340	0	1.401	0.	42.920939	-83.043475                                                                                                                                
01684	Alpena, MI Urban Cluster	C	24395070	1830884	9.419	0.707	45.063072	-83.453033                                                                                                                      
01711	Alpine, TX Urban Cluster	C	10814931	335	4.176	0.	30.358305	-103.664632                                                                                                                            
01738	Altavista, VA Urban Cluster	C	14409084	122186	5.563	0.047	37.113627	-79.294132                                                                                                                    
01765	Alton, IL--MO Urbanized Area	U	142056073	1901278	54.848	0.734	38.897792	-90.128014                                                                                                                
01792	Altoona, PA Urbanized Area	U	96881964	164785	37.406	0.064	40.485263	-78.393865                                                                                                                    
01819	Alturas, CA Urban Cluster	C	4933312	16517	1.905	0.006	41.489183	-120.546287                                                                                                                       
01846	Altus, OK Urban Cluster	C	31488095	521227	12.158	0.201	34.652723	-99.310867                                                                                                                       
01873	Alva, OK Urban Cluster	C	6803003	0	2.627	0.	36.801096	-98.664669                                                                                                                                  
01900	Alvarado, TX Urban Cluster	C	7359983	19915	2.842	0.008	32.412336	-97.216697                                                                                                                       
01927	Amarillo, TX Urbanized Area	U	210824649	1121377	81.4	0.433	35.197528	-101.849137                                                                                                                  
01981	American Falls, ID Urban Cluster	C	3699797	0	1.428	0.	42.782372	-112.853156                                                                                                                       
02008	Americus, GA Urban Cluster	C	31479401	139046	12.154	0.054	32.072568	-84.229191                                                                                                                    
02035	Amery, WI Urban Cluster	C	5343406	1111969	2.063	0.429	45.30657	-92.364724                                                                                                                         
02062	Ames, IA Urbanized Area	U	59373042	880226	22.924	0.34	42.031216	-93.633762                                                                                                                        
02116	Amite City, LA Urban Cluster	C	18158238	40581	7.011	0.016	30.733723	-90.5208                                                                                                                      
02143	Amory, MS Urban Cluster	C	14384769	27224	5.554	0.011	33.984789	-88.48001                                                                                                                          
02153	Amouli, AS Urban Cluster	C	12119252	0	4.679	0.	-14.26556	-170.589772                                                                                                                              
02170	Amsterdam, NY Urban Cluster	C	26865159	773995	10.373	0.299	42.953149	-74.19505                                                                                                                    
02197	Anaconda-Deer Lodge County, MT Urban Cluster	C	6196633	0	2.393	0.	46.130922	-112.956918                                                                                                           
02224	Anacortes, WA Urban Cluster	C	24576262	589983	9.489	0.228	48.48661	-122.628592                                                                                                                    
02251	Anadarko, OK Urban Cluster	C	6280063	0	2.425	0.	35.071385	-98.241229                                                                                                                              
02278	Anamosa, IA Urban Cluster	C	5458867	0	2.108	0.	42.110072	-91.276045                                                                                                                               
02305	Anchorage, AK Urbanized Area	U	220119982	2653413	84.989	1.024	61.167916	-149.847166                                                                                                               
02332	Anchorage Northeast, AK Urban Cluster	C	42340751	348417	16.348	0.135	61.36204	-149.556631                                                                                                         
02359	Andalusia, AL Urban Cluster	C	14926866	32462	5.763	0.013	31.311564	-86.479556                                                                                                                     
02386	Anderson, IN Urbanized Area	U	170942586	751778	66.001	0.29	40.088751	-85.679816                                                                                                                   
02413	Anderson, SC Urbanized Area	U	191932979	3272330	74.106	1.263	34.520823	-82.660933                                                                                                                 
02440	Andrews, SC Urban Cluster	C	7781114	0	3.004	0.	33.450931	-79.562021                                                                                                                               
02467	Andrews, TX Urban Cluster	C	16189550	30529	6.251	0.012	32.320646	-102.546505                                                                                                                      
02494	Angels, CA Urban Cluster	C	6913078	12740	2.669	0.005	38.074409	-120.551042                                                                                                                        
02548	Angola, IN Urban Cluster	C	23646957	3913803	9.13	1.511	41.661024	-85.016736                                                                                                                       
02575	Anna, IL Urban Cluster	C	10315625	47210	3.983	0.018	37.460138	-89.251143                                                                                                                          
02581	Anna, TX Urban Cluster	C	18108734	14418	6.992	0.006	33.37908	-96.563619                                                                                                                           
02590	Annandale, MN Urban Cluster	C	6952104	0	2.684	0.	45.260115	-94.121311                                                                                                                             
02602	Ann Arbor, MI Urbanized Area	U	413298516	13523824	159.575	5.222	42.240003	-83.662679                                                                                                              
02629	Anniston--Oxford, AL Urbanized Area	U	224629072	1517718	86.73	0.586	33.664398	-85.828795                                                                                                          
02656	Antigo, WI Urban Cluster	C	10801686	84336	4.171	0.033	45.142639	-89.153197                                                                                                                        
02683	Antioch, CA Urbanized Area	U	209027859	3296203	80.706	1.273	37.991687	-121.78212                                                                                                                  
02710	Apalachicola, FL Urban Cluster	C	7244106	15809621	2.797	6.104	29.751831	-84.909118                                                                                                                
02764	Appleton, WI Urbanized Area	U	268669808	10746401	103.734	4.149	44.24668	-88.411096                                                                                                                
02773	Apple Valley, OH Urban Cluster	C	12284409	2046677	4.743	0.79	40.438206	-82.34901                                                                                                                  
02791	Arab, AL Urban Cluster	C	21701758	301947	8.379	0.117	34.342074	-86.503725                                                                                                                         
02825	Arbuckle, CA Urban Cluster	C	1871310	0	0.723	0.	39.016726	-122.060221                                                                                                                             
02845	Arcade, NY Urban Cluster	C	6117049	0	2.362	0.	42.534572	-78.466924                                                                                                                                
02899	Arcadia, LA Urban Cluster	C	7054369	0	2.724	0.	32.552383	-92.923763                                                                                                                               
02901	Arcadia, WI Urban Cluster	C	5469610	0	2.112	0.	44.249694	-91.490933                                                                                                                               
02912	Arcadia--Southeast Arcadia, FL Urban Cluster	C	26182772	15770	10.109	0.006	27.213341	-81.852437                                                                                                   
02926	Arcata--McKinleyville, CA Urban Cluster	C	42589375	329335	16.444	0.127	40.914479	-124.089357                                                                                                      
02953	Archbold, OH Urban Cluster	C	9801479	37920	3.784	0.015	41.52504	-84.294163                                                                                                                        
02965	Archer Lodge--Clayton, NC Urban Cluster	C	52270795	474780	20.182	0.183	35.668818	-78.365612                                                                                                       
02980	Arcola, IL Urban Cluster	C	3476399	44848	1.342	0.017	39.684596	-88.302758                                                                                                                         
03007	Ardmore, OK Urban Cluster	C	30245713	76559	11.678	0.03	34.178548	-97.14166                                                                                                                        
03034	Arecibo, PR Urbanized Area	U	217696335	1556484	84.053	0.601	18.454601	-66.807974                                                                                                                  
03088	Arizona City, AZ Urban Cluster	C	12138344	198208	4.687	0.077	32.749832	-111.673175                                                                                                                
03115	Arkadelphia, AR Urban Cluster	C	14924016	0	5.762	0.	34.124479	-93.067849                                                                                                                          
03142	Arkansas City, KS Urban Cluster	C	24888740	143725	9.61	0.055	37.060526	-97.034648                                                                                                                 
03158	Arlington, TN Urban Cluster	C	20074687	87911	7.751	0.034	35.280006	-89.662685                                                                                                                     
03196	Arroyo Grande--Grover Beach, CA Urbanized Area	U	59604100	233074	23.013	0.09	35.118449	-120.60761                                                                                                 
03223	Artesia, NM Urban Cluster	C	16868338	10805	6.513	0.004	32.837488	-104.414485                                                                                                                      
03250	Arvin, CA Urban Cluster	C	11204964	0	4.326	0.	35.203012	-118.832555                                                                                                                               
03277	Ashburn, GA Urban Cluster	C	8218612	63594	3.173	0.025	31.700807	-83.650098                                                                                                                        
03304	Ashdown, AR Urban Cluster	C	9400107	0	3.629	0.	33.67945	-94.125848                                                                                                                                
03331	Asheboro, NC Urban Cluster	C	85270634	197574	32.923	0.076	35.731299	-79.804246                                                                                                                    
03358	Asheville, NC Urbanized Area	U	686024063	6256735	264.875	2.416	35.537101	-82.664164                                                                                                               
03365	Ashland, MO Urban Cluster	C	4721292	0	1.823	0.	38.771524	-92.259132                                                                                                                               
03375	Ashland, NE Urban Cluster	C	3232693	66446	1.248	0.026	41.041145	-96.364131                                                                                                                        
03385	Ashland, OH Urban Cluster	C	20736513	49269	8.006	0.019	40.863589	-82.317007                                                                                                                       
03395	Ashland, PA Urban Cluster	C	14631798	0	5.649	0.	40.78415	-76.356232                                                                                                                               
03412	Ashland, WI Urban Cluster	C	11167661	5410	4.312	0.002	46.578646	-90.881298                                                                                                                        
03439	Ashland City, TN Urban Cluster	C	8170373	0	3.155	0.	36.27384	-87.067035                                                                                                                           
03466	Ashtabula, OH Urban Cluster	C	56393843	403382	21.774	0.156	41.877017	-80.78496                                                                                                                    
03493	Ashville, OH Urban Cluster	C	13965053	534661	5.392	0.206	39.718518	-82.967112                                                                                                                     
03520	Aspen, CO Urban Cluster	C	11821064	0	4.564	0.	39.199298	-106.840346                                                                                                                               
03547	Astoria, OR Urban Cluster	C	23579492	1641822	9.104	0.634	46.183825	-123.860648                                                                                                                    
03601	Atchison, KS--MO Urban Cluster	C	15614151	160893	6.029	0.062	39.570588	-95.137251                                                                                                                 
03655	Athens, AL Urban Cluster	C	69988371	501547	27.023	0.194	34.811825	-86.952175                                                                                                                      
03682	Athens, OH Urban Cluster	C	25728994	260343	9.934	0.101	39.327239	-82.111599                                                                                                                       
03709	Athens, TN Urban Cluster	C	38397480	0	14.825	0.	35.448059	-84.600203                                                                                                                              
03736	Athens, TX Urban Cluster	C	23897877	64685	9.227	0.025	32.201604	-95.847373                                                                                                                        
03763	Athens-Clarke County, GA Urbanized Area	U	254875194	2512432	98.408	0.97	33.942089	-83.398272                                                                                                      
03790	Athol, MA Urban Cluster	C	24221424	1053681	9.352	0.407	42.592843	-72.239703                                                                                                                       
03817	Atlanta, GA Urbanized Area	U	6852231566	92837791	2645.662	35.845	33.824102	-84.331858                                                                                                             
03844	Atlanta, TX Urban Cluster	C	19353384	101572	7.472	0.039	33.125525	-94.167911                                                                                                                      
03871	Atlantic, IA Urban Cluster	C	7272977	101142	2.808	0.039	41.398446	-95.006333                                                                                                                      
03898	Atlantic City, NJ Urbanized Area	U	325862481	11791892	125.816	4.553	39.371191	-74.590455                                                                                                          
03925	Atmore, AL Urban Cluster	C	12225383	40082	4.72	0.015	31.021931	-87.487418                                                                                                                         
03957	Atoka, TN Urban Cluster	C	53459220	207074	20.641	0.08	35.429295	-89.802671                                                                                                                        
03979	Attica, IN Urban Cluster	C	10211105	85101	3.943	0.033	40.29083	-87.269893                                                                                                                         
04006	Attica, NY Urban Cluster	C	5831429	0	2.252	0.	42.873711	-78.271755                                                                                                                                
04021	Aubrey, TX Urban Cluster	C	6103661	2579	2.357	0.001	33.288094	-96.989684                                                                                                                          
04033	Auburn, AL Urbanized Area	U	129257750	892698	49.907	0.345	32.614294	-85.443932                                                                                                                    
04054	Auburn, IL Urban Cluster	C	5162568	0	1.993	0.	39.590034	-89.749542                                                                                                                                
04060	Auburn, IN Urban Cluster	C	30215008	0	11.666	0.	41.369658	-85.070754                                                                                                                              
04087	Auburn, NE Urban Cluster	C	5204597	0	2.01	0.	40.38848	-95.843424                                                                                                                                  
04114	Auburn, NY Urban Cluster	C	33428860	239530	12.907	0.092	42.926811	-76.561994                                                                                                                      
04130	Auburn--North Auburn, CA Urban Cluster	C	69199032	261127	26.718	0.101	38.932512	-121.079665                                                                                                       
04168	Augusta, KS Urban Cluster	C	10633843	690960	4.106	0.267	37.69194	-96.973193                                                                                                                       
04195	Augusta, ME Urban Cluster	C	44884331	724961	17.33	0.28	44.265201	-69.782274                                                                                                                       
04222	Augusta-Richmond County, GA--SC Urbanized Area	U	672474195	6821895	259.644	2.634	33.487951	-81.996378                                                                                             
04249	Aumsville, OR Urban Cluster	C	2979867	0	1.151	0.	44.845016	-122.866978                                                                                                                            
04276	Aurora, MO Urban Cluster	C	15212086	39864	5.873	0.015	36.967117	-93.730413                                                                                                                        
04303	Aurora, NE Urban Cluster	C	5464042	14529	2.11	0.006	40.867831	-98.003674                                                                                                                          
04330	Au Sable, MI Urban Cluster	C	27106175	628627	10.466	0.243	44.45283	-83.346783                                                                                                                     
04357	Austin, MN Urban Cluster	C	31664337	254097	12.226	0.098	43.671232	-92.977883                                                                                                                      
04384	Austin, TX Urbanized Area	U	1355676594	10769436	523.43	4.158	30.358514	-97.761533                                                                                                                 
04411	Ava, MO Urban Cluster	C	5412263	1126	2.09	0.	36.954458	-92.661589                                                                                                                                 
04438	Avalon, CA Urban Cluster	C	3428232	0	1.324	0.	33.341578	-118.328732                                                                                                                               
04465	Avenal, CA Urban Cluster	C	7912977	0	3.055	0.	35.993168	-120.126356                                                                                                                               
04519	Avon, NY Urban Cluster	C	10085532	0	3.894	0.	42.899102	-77.741633                                                                                                                                 
04549	Avondale--Goodyear, AZ Urbanized Area	U	227519034	833471	87.846	0.322	33.472717	-112.399026                                                                                                       
04573	Avra Valley, AZ Urban Cluster	C	10127104	0	3.91	0.	32.42773	-111.326681                                                                                                                           
04587	Aztec, NM Urban Cluster	C	16349097	307856	6.312	0.119	36.833998	-107.996013                                                                                                                       
04600	Bad Axe, MI Urban Cluster	C	6467525	0	2.497	0.	43.802505	-82.997958                                                                                                                               
04627	Bainbridge, GA Urban Cluster	C	26764046	650992	10.334	0.251	30.90486	-84.564687                                                                                                                   
04654	Baker City, OR Urban Cluster	C	13005431	178981	5.021	0.069	44.783476	-117.82877                                                                                                                   
04681	Bakersfield, CA Urbanized Area	U	358505782	2291270	138.42	0.885	35.362282	-119.030559                                                                                                             
04708	Bald Knob, AR Urban Cluster	C	5965948	0	2.303	0.	35.31222	-91.574315                                                                                                                              
04762	Baldwin, WI Urban Cluster	C	9560969	0	3.692	0.	44.975947	-92.428301                                                                                                                               
04789	Baldwin City, KS Urban Cluster	C	5321138	4437	2.055	0.002	38.777506	-95.18748                                                                                                                     
04816	Ballinger, TX Urban Cluster	C	5213629	0	2.013	0.	31.742194	-99.9558                                                                                                                               
04843	Baltimore, MD Urbanized Area	U	1856870741	65400737	716.942	25.251	39.234099	-76.64776                                                                                                             
04870	Baltimore, OH Urban Cluster	C	6950422	0	2.684	0.	39.843837	-82.587277                                                                                                                             
04897	Bamberg, SC Urban Cluster	C	7237563	0	2.794	0.	33.298561	-81.029974                                                                                                                               
04924	Bandon, OR Urban Cluster	C	5707450	7562	2.204	0.003	43.113779	-124.415518                                                                                                                         
04951	Bangor, ME Urbanized Area	U	109704384	3802117	42.357	1.468	44.835625	-68.746629                                                                                                                   
05005	Baraboo, WI Urban Cluster	C	16111382	186870	6.221	0.072	43.46854	-89.748766                                                                                                                       
05032	Barbourville, KY Urban Cluster	C	13086863	158660	5.053	0.061	36.860165	-83.855348                                                                                                                 
05059	Bardstown, KY Urban Cluster	C	44068989	382446	17.015	0.148	37.835762	-85.466                                                                                                                      
05086	Bar Harbor, ME Urban Cluster	C	4381189	0	1.692	0.	44.392257	-68.221833                                                                                                                            
05113	Barnesville, GA Urban Cluster	C	14029300	102435	5.417	0.04	33.052313	-84.154709                                                                                                                   
05140	Barnesville, OH Urban Cluster	C	5154243	31354	1.99	0.012	39.988847	-81.172633                                                                                                                     
05167	Barnstable Town, MA Urbanized Area	U	718771406	58502923	277.519	22.588	41.686345	-70.224167                                                                                                       
05194	Barnwell, SC Urban Cluster	C	9372803	40813	3.619	0.016	33.248668	-81.361338                                                                                                                       
05221	Barre--Montpelier, VT Urban Cluster	C	45888066	525070	17.717	0.203	44.198429	-72.517883                                                                                                           
05248	Barron, WI Urban Cluster	C	4961099	49729	1.915	0.019	45.401884	-91.853281                                                                                                                         
05275	Barrow, AK Urban Cluster	C	2102063	437401	0.812	0.169	71.29367	-156.764378                                                                                                                        
05302	Barstow, CA Urban Cluster	C	31973824	0	12.345	0.	34.888029	-117.03838                                                                                                                             
05329	Bartlesville, OK Urban Cluster	C	63423539	32200	24.488	0.012	36.745387	-95.956299                                                                                                                 
05356	Bartlett, TX Urban Cluster	C	2792859	1094	1.078	0.	30.796199	-97.433073                                                                                                                           
05410	Basalt--El Jebel, CO Urban Cluster	C	10379391	76359	4.008	0.029	39.375173	-107.084447                                                                                                             
05423	Basehor, KS Urban Cluster	C	6338785	102674	2.447	0.04	39.127539	-94.941756                                                                                                                        
05437	Bastrop, LA Urban Cluster	C	26101106	105190	10.078	0.041	32.776783	-91.913851                                                                                                                     
05464	Bastrop, TX Urban Cluster	C	29742531	319325	11.484	0.123	30.108886	-97.36006                                                                                                                      
05491	Batavia, NY Urban Cluster	C	20720562	211667	8.	0.082	43.002665	-78.177406                                                                                                                         
05518	Batesburg-Leesville, SC Urban Cluster	C	14968619	127564	5.779	0.049	33.908055	-81.510262                                                                                                          
05545	Batesville, AR Urban Cluster	C	23827438	202777	9.2	0.078	35.7706	-91.633541                                                                                                                       
05572	Batesville, IN Urban Cluster	C	15585808	117724	6.018	0.045	39.297625	-85.199479                                                                                                                   
05599	Batesville, MS Urban Cluster	C	21307729	0	8.227	0.	34.304023	-89.942156                                                                                                                           
05653	Bath, NY Urban Cluster	C	11099053	244884	4.285	0.095	42.34625	-77.31417                                                                                                                           
05680	Baton Rouge, LA Urbanized Area	U	950088368	11802555	366.831	4.557	30.427916	-91.038968                                                                                                            
05707	Battle Creek, MI Urbanized Area	U	137406277	3529662	53.053	1.363	42.31374	-85.197926                                                                                                              
05734	Battlement Mesa, CO Urban Cluster	C	7578691	918	2.926	0.	39.453934	-108.05174                                                                                                                     
05761	Battle Mountain, NV Urban Cluster	C	5054537	0	1.952	0.	40.638332	-116.9463                                                                                                                        
05788	Baxley, GA Urban Cluster	C	14614430	13203	5.643	0.005	31.771186	-82.346883                                                                                                                        
05815	Baxter Springs, KS Urban Cluster	C	11515387	0	4.446	0.	37.021334	-94.737759                                                                                                                       
05842	Bayard, NM Urban Cluster	C	7007190	28840	2.705	0.011	32.764691	-108.140065                                                                                                                        
05869	Bay City, MI Urbanized Area	U	104467423	4160572	40.335	1.606	43.608621	-83.890506                                                                                                                 
05896	Bay City, TX Urban Cluster	C	24247356	8497	9.362	0.003	28.980707	-95.954967                                                                                                                       
05904	Bayfield, CO Urban Cluster	C	4722539	0	1.823	0.	37.241913	-107.59671                                                                                                                              
05923	Bay Minette, AL Urban Cluster	C	14865521	139486	5.74	0.054	30.883529	-87.775532                                                                                                                   
05958	Bealeton, VA Urban Cluster	C	9545702	26766	3.686	0.01	38.567378	-77.786511                                                                                                                        
05977	Beardstown, IL Urban Cluster	C	7476461	212332	2.887	0.082	40.013495	-90.423833                                                                                                                    
06004	Beatrice, NE Urban Cluster	C	17384243	170156	6.712	0.066	40.267398	-96.743305                                                                                                                     
06031	Beaufort--Port Royal, SC Urban Cluster	C	118150179	13541438	45.618	5.228	32.423368	-80.716463                                                                                                     
06058	Beaumont, TX Urbanized Area	U	237518108	2860034	91.706	1.104	30.11918	-94.127119                                                                                                                  
